ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
33,47,106,19,0,38,41,1,144,60,1,125,80,205
33,48,44,7,0,17,31,2,61,38,2,51,50,101
33,49,131,15,1,45,41,0,176,56,1,147,86,233
33,51,737,139,0,426,687,0,1163,826,0,876,1113,1989
33,52,3703,866,1,3654,5898,3,7357,6764,4,4570,9555,14125
33,61,76,21,0,16,26,0,92,47,0,97,42,139
33,62,61,12,0,15,17,0,76,29,0,73,32,105
33,71,36,8,0,11,13,0,47,21,0,44,24,68
33,72,140,29,0,19,57,0,159,86,0,169,76,245
33,73,7,1,0,3,3,0,10,4,0,8,6,14
33,74,296,63,2,45,78,0,341,141,2,361,123,484
33,75,32,5,0,9,21,0,41,26,0,37,30,67
33,76,16,0,0,1,10,0,17,10,0,16,11,27
33,81,39,3,0,11,15,0,50,18,0,42,26,68
33,82,8,1,0,5,10,0,13,11,0,9,15,24
33,83,22,6,0,6,20,0,28,26,0,28,26,54
33,91,13,1,0,2,6,0,15,7,0,14,8,22
33,92,16,5,0,6,16,0,22,21,0,21,22,43
33,101,2,1,0,1,1,0,3,2,0,3,2,5
33,102,4,0,0,0,0,0,4,0,0,4,0,4
33,111,49,6,0,10,5,0,59,11,0,55,15,70
33,112,49,12,0,12,16,0,61,28,0,61,28,89
33,113,72,15,0,18,27,0,90,42,0,87,45,132
33,114,365,71,0,117,162,0,482,233,0,436,279,715
33,121,240,43,0,76,111,0,316,154,0,283,187,470
33,122,24,1,0,10,6,0,34,7,0,25,16,41
33,123,134,23,0,117,57,0,251,80,0,157,174,331
33,124,25,7,0,3,10,0,28,17,0,32,13,45
33,131,26,3,0,9,8,0,35,11,0,29,17,46
33,132,135,23,0,26,58,0,161,81,0,158,84,242
33,133,6,1,0,2,3,0,8,4,0,7,5,12
33,134,11,4,0,4,5,0,15,9,0,15,9,24
33,141,7,0,0,4,11,0,11,11,0,7,15,22
33,142,41,9,0,17,30,0,58,39,0,50,47,97
33,143,58,9,0,12,13,0,70,22,0,67,25,92
33,151,0,0,0,0,1,0,0,1,0,0,1,1
