ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
10,101,4,0,0,2,0,0,6,0,0,4,2,6
10,102,1,0,0,0,1,0,1,1,0,1,1,2
10,111,2,0,0,1,0,0,3,0,0,2,1,3
10,112,1,0,0,1,0,0,2,0,0,1,1,2
10,113,5,3,0,2,5,0,7,8,0,8,7,15
10,114,30,7,0,11,13,0,41,20,0,37,24,61
10,121,317,64,0,71,103,0,388,167,0,381,174,555
10,122,39,12,0,17,24,0,56,36,0,51,41,92
10,123,372,73,0,181,116,0,553,189,0,445,297,742
10,124,97,23,0,25,39,0,122,62,0,120,64,184
10,131,338,67,0,135,164,0,473,231,0,405,299,704
10,132,1958,365,0,1375,2134,0,3333,2499,0,2323,3509,5832
10,133,80,11,0,32,42,0,112,53,0,91,74,165
10,134,136,29,0,47,73,0,183,102,0,165,120,285
10,141,3,0,0,1,3,0,4,3,0,3,4,7
10,142,17,3,0,5,10,0,22,13,0,20,15,35
10,143,21,1,0,2,10,0,23,11,0,22,12,34
10,152,1,0,0,0,0,0,1,0,0,1,0,1
10,153,5,1,0,0,0,0,5,1,0,6,0,6
10,163,46,7,0,10,8,0,56,15,0,53,18,71
10,164,3,1,0,0,3,0,3,4,0,4,3,7
10,171,89,16,0,24,29,0,113,45,0,105,53,158
10,172,113,24,0,20,34,0,133,58,0,137,54,191
10,173,806,131,0,191,277,0,997,408,0,937,468,1405
10,181,68,8,0,29,16,0,97,24,0,76,45,121
10,182,42,3,0,8,9,0,50,12,0,45,17,62
10,191,12,5,0,3,3,0,15,8,0,17,6,23
10,192,5,2,0,1,0,0,6,2,0,7,1,8
10,201,3,0,0,0,1,0,3,1,0,3,1,4
11,1,225,52,63,35,51,3,260,103,66,340,89,429
11,2,183,57,35,15,45,1,198,102,36,275,61,336
11,3,804,219,464,96,117,54,900,336,518,1487,267,1754
11,4,1666,416,858,293,383,67,1959,799,925,2940,743,3683
11,5,1863,489,285,627,863,137,2490,1352,422,2637,1627,4264
11,6,3984,961,1157,994,1205,292,4978,2166,1449,6102,2491,8593
11,7,6365,1572,324,8102,9396,298,14467,10968,622,8261,17796,26057
11,8,4156,967,2169,1146,1413,600,5302,2380,2769,7292,3159,10451
11,9,7949,2064,367,5318,6550,276,13267,8614,643,10380,12144,22524
11,10,2437,527,30,2129,3389,21,4566,3916,51,2994,5539,8533
11,11,31730,7440,812,27631,30503,640,59361,37943,1452,39982,58774,98756
11,12,5529,1301,169,4449,6965,83,9978,8266,252,6999,11497,18496
11,15,7,3,0,4,5,0,11,8,0,10,9,19
11,16,4,1,0,1,6,0,5,7,0,5,7,12
11,17,88,25,1,22,41,0,110,66,1,114,63,177
11,18,156,40,2,24,37,1,180,77,3,198,62,260
11,21,7613,1963,737,1989,2267,70,9602,4230,807,10313,4326,14639
11,22,5372,1411,141,1803,2869,60,7175,4280,201,6924,4732,11656
11,23,2870,624,57,1582,2519,25,4452,3143,82,3551,4126,7677
11,24,1831,372,32,484,744,4,2315,1116,36,2235,1232,3467
11,31,310,64,9,56,56,8,366,120,17,383,120,503
11,32,324,85,3,50,90,0,374,175,3,412,140,552
11,33,290,57,3,70,143,2,360,200,5,350,215,565
11,34,288,72,25,55,61,9,343,133,34,385,125,510
11,35,1397,309,119,245,332,16,1642,641,135,1825,593,2418
11,36,1021,222,21,333,512,4,1354,734,25,1264,849,2113
11,41,964,328,499,99,174,44,1063,502,543,1791,317,2108
11,43,1208,311,215,210,327,38,1418,638,253,1734,575,2309
11,44,673,188,130,98,102,33,771,290,163,991,233,1224
11,45,582,137,84,189,240,33,771,377,117,803,462,1265
11,46,313,65,137,56,78,43,369,143,180,515,177,692
11,47,1228,298,153,323,452,22,1551,750,175,1679,797,2476
11,48,625,128,67,97,160,10,722,288,77,820,267,1087
11,49,1457,312,28,451,741,10,1908,1053,38,1797,1202,2999
11,51,481,94,3,136,234,0,617,328,3,578,370,948
