ZONE,COUNTY,TRIP MODE,QUANTITY
32,HENRY,SHARED2FREE,602
32,HENRY,SHARED3FREE,477
32,HENRY,TNC,18
32,HENRY,TOTAL,2260
32,HENRY,WALK,10
33,HENRY,BIKE,3
33,HENRY,DRIVEALONEFREE,865
33,HENRY,PNR_PRMTRN,2
33,HENRY,SCHOOL_BUS,91
33,HENRY,SHARED2FREE,552
33,HENRY,SHARED3FREE,498
33,HENRY,TNC,14
33,HENRY,TOTAL,2035
33,HENRY,WALK,10
34,CLAYTON,BIKE,4
34,CLAYTON,DRIVEALONEFREE,780
34,CLAYTON,KNR_PRMTRN,1
34,CLAYTON,PNR_PRMTRN,2
34,CLAYTON,SCHOOL_BUS,81
34,CLAYTON,SHARED2FREE,469
34,CLAYTON,SHARED3FREE,425
34,CLAYTON,TNC,17
34,CLAYTON,TOTAL,1807
34,CLAYTON,WALK,28
35,CLAYTON,BIKE,3
35,CLAYTON,DRIVEALONEFREE,823
35,CLAYTON,PNR_PRMTRN,1
35,CLAYTON,SCHOOL_BUS,80
35,CLAYTON,SHARED2FREE,442
35,CLAYTON,SHARED3FREE,416
35,CLAYTON,TNC,16
35,CLAYTON,TOTAL,1793
35,CLAYTON,WALK,12
36,CLAYTON,BIKE,2
36,CLAYTON,DRIVEALONEFREE,756
36,CLAYTON,PNR_PRMTRN,3
36,CLAYTON,SCHOOL_BUS,75
36,CLAYTON,SHARED2FREE,488
36,CLAYTON,SHARED3FREE,321
36,CLAYTON,TNC,10
36,CLAYTON,TOTAL,1663
36,CLAYTON,WALK,8
37,FAYETTE,DRIVEALONEFREE,103
37,FAYETTE,SCHOOL_BUS,10
37,FAYETTE,SHARED2FREE,48
37,FAYETTE,SHARED3FREE,38
37,FAYETTE,TOTAL,199
38,FAYETTE,BIKE,4
38,FAYETTE,DRIVEALONEFREE,1040
38,FAYETTE,DRIVEALONEPAY,1
38,FAYETTE,PNR_PRMTRN,2
38,FAYETTE,SCHOOL_BUS,115
38,FAYETTE,SHARED2FREE,690
38,FAYETTE,SHARED3FREE,609
38,FAYETTE,TNC,23
38,FAYETTE,TOTAL,2510
38,FAYETTE,WALK,26
39,DOUGLAS,BIKE,10
39,DOUGLAS,DRIVEALONEFREE,1654
39,DOUGLAS,DRIVEALONEPAY,2
39,DOUGLAS,KNR_PRMTRN,2
39,DOUGLAS,PNR_ALLTRN,1
39,DOUGLAS,PNR_PRMTRN,2
39,DOUGLAS,SCHOOL_BUS,119
39,DOUGLAS,SHARED2FREE,1025
39,DOUGLAS,SHARED3FREE,686
39,DOUGLAS,TNC,15
39,DOUGLAS,TOTAL,3571
39,DOUGLAS,WALK,55
40,CHEROKEE,BIKE,4
40,CHEROKEE,DRIVEALONEFREE,768
40,CHEROKEE,KNR_PRMTRN,1
40,CHEROKEE,PNR_PRMTRN,1
40,CHEROKEE,SCHOOL_BUS,80
40,CHEROKEE,SHARED2FREE,496
40,CHEROKEE,SHARED3FREE,364
40,CHEROKEE,TNC,11
40,CHEROKEE,TOTAL,1743
40,CHEROKEE,WALK,18
41,CHEROKEE,BIKE,33
41,CHEROKEE,DRIVEALONEFREE,3753
41,CHEROKEE,DRIVEALONEPAY,2
41,CHEROKEE,PNR_ALLTRN,1
41,CHEROKEE,PNR_PRMTRN,5
41,CHEROKEE,SCHOOL_BUS,616
41,CHEROKEE,SHARED2FREE,2296
41,CHEROKEE,SHARED2PAY,1
41,CHEROKEE,SHARED3FREE,1881
41,CHEROKEE,TNC,95
41,CHEROKEE,TOTAL,9222
41,CHEROKEE,WALK,532
41,CHEROKEE,WALK_ALLTRN,7
42,CHEROKEE,BIKE,5
42,CHEROKEE,DRIVEALONEFREE,1474
42,CHEROKEE,KNR_PRMTRN,1
42,CHEROKEE,SCHOOL_BUS,24
42,CHEROKEE,SHARED2FREE,482
42,CHEROKEE,SHARED3FREE,317
42,CHEROKEE,TNC,42
42,CHEROKEE,TOTAL,2484
42,CHEROKEE,WALK,135
42,CHEROKEE,WALK_ALLTRN,4
43,COWETA,BIKE,7
43,COWETA,DRIVEALONEFREE,1292
43,COWETA,KNR_ALLTRN,2
43,COWETA,PNR_PRMTRN,2
43,COWETA,SCHOOL_BUS,30
43,COWETA,SHARED2FREE,593
43,COWETA,SHARED3FREE,429
43,COWETA,TNC,26
43,COWETA,TOTAL,2458
43,COWETA,WALK,76
43,COWETA,WALK_ALLTRN,1
44,COWETA,BIKE,5
44,COWETA,DRIVEALONEFREE,894
44,COWETA,DRIVEALONEPAY,1
44,COWETA,SCHOOL_BUS,344
44,COWETA,SHARED2FREE,660
44,COWETA,SHARED3FREE,532
44,COWETA,TNC,24
44,COWETA,TOTAL,2519
44,COWETA,WALK,58
44,COWETA,WALK_ALLTRN,1
45,FORSYTH,BIKE,26
45,FORSYTH,DRIVEALONEFREE,2385
45,FORSYTH,DRIVEALONEPAY,1
45,FORSYTH,KNR_ALLTRN,1
45,FORSYTH,PNR_PRMTRN,2
45,FORSYTH,SCHOOL_BUS,1305
45,FORSYTH,SHARED2FREE,2093
45,FORSYTH,SHARED3FREE,1623
45,FORSYTH,TNC,54
45,FORSYTH,TOTAL,7731
45,FORSYTH,WALK,234
45,FORSYTH,WALK_ALLTRN,7
46,FORSYTH,BIKE,3
46,FORSYTH,DRIVEALONEFREE,1104
46,FORSYTH,DRIVEALONEPAY,1
46,FORSYTH,KNR_ALLTRN,1
46,FORSYTH,PNR_PRMTRN,3
46,FORSYTH,SCHOOL_BUS,8
46,FORSYTH,SHARED2FREE,356
46,FORSYTH,SHARED3FREE,223
46,FORSYTH,TNC,22
46,FORSYTH,TOTAL,1765
46,FORSYTH,WALK,40
46,FORSYTH,WALK_ALLTRN,4
47,PAULDING,BIKE,11
47,PAULDING,DRIVEALONEFREE,880
47,PAULDING,KNR_ALLTRN,1
47,PAULDING,PNR_ALLTRN,2
47,PAULDING,PNR_PRMTRN,2
47,PAULDING,SCHOOL_BUS,82
47,PAULDING,SHARED2FREE,322
47,PAULDING,SHARED3FREE,217
47,PAULDING,TNC,20
47,PAULDING,TOTAL,1593
47,PAULDING,WALK,52
47,PAULDING,WALK_ALLTRN,4
48,BARTOW,BIKE,17
48,BARTOW,DRIVEALONEFREE,2248
48,BARTOW,KNR_PRMTRN,2
48,BARTOW,PNR_ALLTRN,1
48,BARTOW,PNR_PRMTRN,4
48,BARTOW,SCHOOL_BUS,206
48,BARTOW,SHARED2FREE,1266
48,BARTOW,SHARED3FREE,1098
48,BARTOW,TNC,48
48,BARTOW,TOTAL,4983
48,BARTOW,WALK,92
48,BARTOW,WALK_ALLTRN,1
49,BARTOW,DRIVEALONEFREE,189
49,BARTOW,PNR_PRMTRN,1
49,BARTOW,SCHOOL_BUS,35
49,BARTOW,SHARED2FREE,91
49,BARTOW,SHARED3FREE,98
49,BARTOW,TNC,9
49,BARTOW,TOTAL,427
49,BARTOW,WALK,4
50,CARROLL,BIKE,8
50,CARROLL,DRIVEALONEFREE,802
50,CARROLL,KNR_ALLTRN,1
50,CARROLL,PNR_PRMTRN,1
50,CARROLL,SCHOOL_BUS,124
50,CARROLL,SHARED2FREE,534
50,CARROLL,SHARED3FREE,490
50,CARROLL,TNC,23
50,CARROLL,TOTAL,2000
50,CARROLL,WALK,17
